blind,rep,T2*_us,fit_error
A,0,88.16751709827084,
A,1,88.16751709827084,
A,2,88.16751709827084,
A,3,88.16751709827084,
A,4,88.16751709827084,
A,5,88.16751709827084,
A,6,88.16751709827084,
A,7,88.16751709827084,
A,8,88.16751709827084,
A,9,88.16751709827084,
B,0,88.16751709827084,
B,1,88.16751709827084,
B,2,88.16751709827084,
B,3,88.16751709827084,
B,4,88.16751709827084,
B,5,88.16751709827084,
B,6,88.16751709827084,
B,7,88.16751709827084,
B,8,88.16751709827084,
B,9,88.16751709827084,
C,0,0.006060704191730881,
C,1,0.006060704191730881,
C,2,0.006060704191730881,
C,3,0.006060704191730881,
C,4,0.006060704191730881,
C,5,0.006060704191730881,
C,6,0.006060704191730881,
C,7,0.006060704191730881,
C,8,0.006060704191730881,
C,9,0.006060704191730881,
Z,0,88.16751709827084,
Z,1,88.16751709827084,
Z,2,88.16751709827084,
Z,3,88.16751709827084,
Z,4,88.16751709827084,
Z,5,88.16751709827084,
Z,6,88.16751709827084,
Z,7,88.16751709827084,
Z,8,88.16751709827084,
Z,9,88.16751709827084,
