lambda,count,t2_mean,t2_std,t2_median,amp_mean,amp_std,amp_median
0.0,10,44.812150810178736,1.9340430412916378,44.46277242509631,0.7857805085159667,0.013834063553002707,0.7879043375258501
0.1,10,44.84408717667265,1.9397990527425202,44.62264199816218,0.7074356343188464,0.013069399556897085,0.7110058962895374
0.2,10,44.88493689900958,2.003770348339829,44.64115553815391,0.6291055263616034,0.012739532608517488,0.6312368742463583
0.30000000000000004,10,44.939023277254755,2.1720026488696527,44.72986693166107,0.5507967784535418,0.012873921572175217,0.5535074683849766
0.4,10,45.01392835370842,2.518604201826849,44.92710932212195,0.47252061733986794,0.013452429370257884,0.4758166565120404
0.5,10,45.12435369561514,3.1645550103183027,45.186193250135005,0.3942977932288668,0.014411530123198908,0.3965824769340811
0.6000000000000001,10,45.30302935104161,4.3363412162949935,45.253768466890506,0.3161714830558197,0.01566357441605594,0.31769492490742257
0.7000000000000001,10,45.640642148742586,6.573150353804555,45.846513734342494,0.23824919467540856,0.01710844020845953,0.23885293606993052
0.8,10,46.52398791308426,11.667219213141157,45.90043118670634,0.16090101661071488,0.01861109972945381,0.16108739271595834
0.9,10,55.394255364164835,37.39707871550958,45.76647562879462,0.08834273649602885,0.01990648329008569,0.08983327080234646
1.0,7,58.91758363482186,58.26698936809562,37.1418149110346,-0.0028501257662007624,0.033800554899655645,-0.02254178546114308
