lambda,count,mean_t2,std_t2,median_t2,mean_amp,std_amp,median_amp
0.0,10,6.909065369077686,0.6970097770419595,7.0972458108842975,0.47492404740972766,0.010575663936976232,0.4771741975921827
0.1,10,5.31162129763572,2.780229206557095,6.7116474765496825,0.42058219121406903,0.015666858039527803,0.4222033861540301
0.2,10,5.402661464308318,2.8700643999597784,6.645797383677605,0.37399712943196356,0.008200367626500882,0.37656650505384126
0.3,10,6.056383301363246,2.18962265449095,6.712160160925779,0.3253690652254479,0.00679841357660108,0.3266778155540798
0.4,10,6.821933832410208,0.5977997741967175,6.655822710819049,0.2816445738396924,0.005896847695269339,0.28060080602641063
0.5,10,5.321024960740676,2.7300638861173816,6.590559230010335,0.23534641666468717,0.005556720037437928,0.23583019633440916
0.6,10,6.11572911548242,2.1694135263172285,6.666994256434504,0.18702602929427667,0.004642599919391971,0.18605122994256085
0.7,10,6.793795597527295,0.6510543391696211,6.491460954138331,0.1416825591061355,0.003090754194072958,0.14135242992655922
0.8,10,6.822987437886179,0.5822899535280759,6.890799768064536,0.09351814844329596,0.00279630183445329,0.09375325530206671
0.9,10,6.751311823149813,0.6936480786395015,6.914170474035841,0.04669020214003791,0.0009615320028956638,0.046424481579530406
